Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,50,0,680.0,915.559195979999,510.51005799999416,5451.302453000011,120533.66,0.20602950298996747,0.0,690,740,790,890,1500,1900,5500,5500,5500,5500,5500
GET,htj2k-lossless-round1,50,0,48,56.75007022000043,19.308541999976114,231.8929150000031,120502.44,0.20602950298996747,0.0,55,68,72,77,85,97,230,230,230,230,230
GET,htj2k-lossy-round1,50,0,59,66.60858750000128,26.851418999996213,235.38857899998789,107159.64,0.20602950298996747,0.0,59,78,87,91,100,110,240,240,240,240,240
GET,htj2k_bodelian_lossy,50,0,600.0,785.9704448600002,181.41025100000263,4676.002469000025,107365.56,0.20602950298996747,0.0,600,660,760,820,1300,1500,4700,4700,4700,4700,4700
GET,htj2k_lossless,50,0,40,47.744666759998545,20.69577500000719,213.3916319999969,120502.44,0.20602950298996747,0.0,41,56,58,64,73,78,210,210,210,210,210
GET,htj2k_lossless_plt,50,0,49,61.189542499997096,20.036845999982233,249.203088999991,120502.44,0.20602950298996747,0.0,52,68,77,85,110,110,250,250,250,250,250
GET,htj2k_lossy_3bpp_plt,50,0,56,65.70756979999953,22.378786000004425,235.27487999999153,107163.38,0.20602950298996747,0.0,59,77,90,92,99,110,240,240,240,240,240
GET,htj2k_lossy_Qfactor_90_plt,50,0,52,58.27971601999994,18.957777999986547,209.5127130000094,107194.4,0.20602950298996747,0.0,53,65,75,78,88,93,210,210,210,210,210
GET,j2k1_bodelian_lossy,49,0,760.0,903.961630775509,209.2046909999965,4753.898009000011,107204.1836734694,0.2019089129301681,0.0,760,850,860,970,1400,1700,4800,4800,4800,4800,4800
GET,j2k1_lossless_plt,49,0,110.0,150.48219642857012,35.97609999999918,866.997538999982,120312.55102040817,0.2019089129301681,0.0,110,180,200,220,250,280,870,870,870,870,870
GET,j2k1_lossy_3bpp_plt,49,0,140.0,175.64514165306198,51.05482999999822,833.9449030000026,106999.83673469388,0.2019089129301681,0.0,140,220,240,250,290,300,830,830,830,830,830
GET,j2k1_lossy_Qfactor_90_plt,49,0,110.0,132.42188018367273,49.975141999993866,550.8350099999859,107027.0612244898,0.2019089129301681,0.0,110,150,160,190,230,260,550,550,550,550,550
GET,j2k_bodelian_lossless,50,0,770.0,1004.0113874000003,490.4046499999879,5288.103589000002,120533.66,0.20602950298996747,0.0,800,880,970,1000,1600,2000,5300,5300,5300,5300,5300
GET,jp2-lossless-round1,50,0,100.0,148.75152006000187,37.64527100000237,820.4918020000207,120502.44,0.20602950298996747,0.0,110,190,210,220,250,280,820,820,820,820,820
GET,jp2-lossy-round1,50,0,150.0,178.77368189999953,49.23041999998645,823.7971540000046,107167.0,0.20602950298996747,0.0,160,220,240,270,290,310,820,820,820,820,820
GET,ptiff-lossless-round1,50,0,68,72.46295049999964,35.924269000020104,257.12157600000296,106730.7,0.20602950298996747,0.0,68,79,86,89,95,110,260,260,260,260,260
GET,ptiff-lossy-round1,50,0,52,54.339998359999875,23.57882299997982,181.13678900002128,107142.7,0.20602950298996747,0.0,54,60,63,64,68,80,180,180,180,180,180
,Aggregated,846,0,87,286.726357205673,18.957777999986547,5451.302453000011,112630.80496453901,3.4860191905902496,0.0,87,190,290,560,760,910,1500,2000,5500,5500,5500
