Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,2025,0,12,63.455803993087585,4.961529000013343,13666.80360099997,23611.516543209877,1.5575961163492478,0.0,12,15,17,19,23,31,1000,1600,4700,14000,14000
GET,htj2k-lossless-round1,2025,0,12,15.686197062226132,4.259984999976041,98.88003200001094,23613.647407407407,1.5575961163492478,0.0,12,16,18,20,28,35,47,55,68,99,99
GET,htj2k-lossy-round1,2025,0,12,14.801705550123803,4.521356999930504,78.83852399982061,21035.27950617284,1.5575961163492478,0.0,12,14,16,18,23,28,38,51,66,79,79
GET,htj2k_bodelian_lossy,2025,0,11,50.227104812839244,4.80997199997546,11618.109057999958,21035.05975308642,1.5575961163492478,0.0,11,13,14,15,19,29,780,1200,3300,12000,12000
GET,htj2k_lossless,2025,0,25,41.40980555753091,4.120793000083722,765.8156040000677,23613.745185185184,1.5575961163492478,0.0,25,39,50,58,100,120,140,160,750,770,770
GET,htj2k_lossless_plt,2025,0,13,16.304380864691115,4.486356999905183,106.05736999997362,23613.766913580246,1.5575961163492478,0.0,13,17,20,21,28,35,45,55,72,110,110
GET,htj2k_lossy_3bpp_plt,2025,0,11,14.18530653432111,4.1594159999931435,76.6692159999991,21036.684938271606,1.5575961163492478,0.0,11,13,16,17,23,28,39,50,67,77,77
GET,htj2k_lossy_Qfactor_90_plt,2025,0,10,12.234977233088593,4.739720999964447,59.58592000001772,20948.046419753086,1.5575961163492478,0.0,10,12,13,15,19,24,32,38,49,60,60
GET,j2k1_bodelian_lossy,2025,0,19,59.29852387209968,4.278706999912174,11580.837972999972,21050.251358024692,1.5575961163492478,0.0,19,21,23,24,31,47,800,1300,3500,12000,12000
GET,j2k1_lossless_plt,2025,0,55,53.809029745680455,4.254027000115457,222.10083900000654,23613.76148148148,1.5575961163492478,0.0,55,61,65,67,74,82,91,98,140,220,220
GET,j2k1_lossy_3bpp_plt,2024,0,55,55.90187947579083,4.199610000000575,167.21541399988382,21048.554841897232,1.5568269330819147,0.0,55,63,67,71,78,86,99,110,150,170,170
GET,j2k1_lossy_Qfactor_90_plt,2024,0,41,41.09609923172045,4.128862000015943,121.24501600010262,20947.434288537548,1.5568269330819147,0.0,41,46,50,53,58,64,73,84,110,120,120
GET,j2k_bodelian_lossless,2025,0,23,72.51517867012389,4.35447600000316,13265.230582000015,23611.51111111111,1.5575961163492478,0.0,23,26,28,30,38,50,950,1600,4300,13000,13000
GET,jp2-lossless-round1,2025,0,54,52.99736915950597,4.683408999994754,144.71512500000472,23613.603950617286,1.5575961163492478,0.0,54,60,63,66,73,79,87,94,120,140,140
GET,jp2-lossy-round1,2025,0,55,54.95267108148017,4.820094000024255,155.38740700000096,21047.197530864196,1.5575961163492478,0.0,55,62,66,70,77,84,97,110,140,160,160
GET,ptiff-lossless-round1,2025,0,9,10.878887993088856,3.8137190000497867,110.17680300000166,20676.113580246914,1.5575961163492478,0.0,9,10,11,11,14,20,37,65,94,110,110
GET,ptiff-lossy-round1,2025,0,9,10.406652804443988,4.274633000022732,101.7070479999802,20785.10814814815,1.5575961163492478,0.0,9,10,10,11,12,17,39,60,90,100,100
,Aggregated,34423,0,18,37.655933202975405,3.8137190000497867,13666.80360099997,22053.077942073614,26.477595611402545,0.0,18,29,41,48,62,73,92,120,2100,12000,14000
