Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,50,0,4300.0,4435.75795102001,1373.204947000005,11455.374981999967,3088498.2,0.02362337222267814,0.0,4400,4700,5100,5300,6600,8400,11000,11000,11000,11000,11000
GET,htj2k-lossless-round1,50,0,1400.0,1559.888405800008,207.7829899999415,5182.7115359999425,3088741.14,0.02362337222267814,0.0,1400,1800,1900,2000,2200,2300,5200,5200,5200,5200,5200
GET,htj2k-lossy-round1,50,0,1100.0,1191.012992240007,269.2287279999164,2255.881941000098,2841653.5,0.02362337222267814,0.0,1200,1300,1400,1500,1600,1800,2300,2300,2300,2300,2300
GET,htj2k_bodelian_lossy,50,0,2500.0,2726.5365081399823,994.5039890000089,10123.348566000004,2843036.04,0.02362337222267814,0.0,2500,2800,3000,3200,3900,5600,10000,10000,10000,10000,10000
GET,htj2k_lossless,50,0,1100.0,1083.5759062000006,158.04125300019223,3478.2924480000474,3088741.14,0.02362337222267814,0.0,1100,1200,1300,1300,1500,1700,3500,3500,3500,3500,3500
GET,htj2k_lossless_plt,50,0,1600.0,1588.165409500001,245.05285999998705,5353.585944000088,3088741.14,0.02362337222267814,0.0,1600,1800,1900,2000,2200,2300,5400,5400,5400,5400,5400
GET,htj2k_lossy_3bpp_plt,50,0,1200.0,1251.0767417599845,288.93361200016443,2481.461434000039,2841506.56,0.02362337222267814,0.0,1200,1400,1500,1600,1700,1900,2500,2500,2500,2500,2500
GET,htj2k_lossy_Qfactor_90_plt,50,0,870.0,909.3096847000061,235.439488999873,1992.4304020000818,2829107.28,0.02362337222267814,0.0,870,1000,1100,1200,1400,1500,2000,2000,2000,2000,2000
GET,j2k1_bodelian_lossy,50,0,4100.0,4235.438672020001,1469.9485180000238,10781.181908000008,2843970.78,0.02362337222267814,0.0,4200,4500,4700,5000,5800,7900,11000,11000,11000,11000,11000
GET,j2k1_lossless_plt,50,0,3600.0,3819.643831159995,517.4631549998594,14736.19387199983,3088741.14,0.02362337222267814,0.0,3700,4200,4400,4600,5100,6300,15000,15000,15000,15000,15000
GET,j2k1_lossy_3bpp_plt,50,0,2600.0,2622.232085160006,789.2705389999719,4750.088295000069,2842835.78,0.02362337222267814,0.0,2700,2900,3000,3200,3400,3900,4800,4800,4800,4800,4800
GET,j2k1_lossy_Qfactor_90_plt,49,0,1600.0,1704.4045238367505,462.70878599989373,3409.5031430001654,2807786.3469387754,0.02315090477822458,0.0,1600,2000,2100,2200,2800,3000,3400,3400,3400,3400,3400
GET,j2k_bodelian_lossless,50,0,6500.0,6707.77263849997,2142.554222000001,16438.04130700005,3088498.2,0.02362337222267814,0.0,6600,7300,7600,7900,9300,13000,16000,16000,16000,16000,16000
GET,jp2-lossless-round1,50,0,3600.0,3777.7454085200125,463.2916519999526,13265.128327999946,3088741.14,0.02362337222267814,0.0,3700,4200,4500,4700,5200,5400,13000,13000,13000,13000,13000
GET,jp2-lossy-round1,50,0,2600.0,2620.911581840004,648.4873150000112,5033.464982999931,2842951.4,0.02362337222267814,0.0,2700,3000,3000,3100,3400,3600,5000,5000,5000,5000,5000
GET,ptiff-lossless-round1,50,0,1200.0,1209.2755807999868,194.654514000149,4630.5352209999455,2817583.34,0.02362337222267814,0.0,1200,1300,1400,1400,1600,1800,4600,4600,4600,4600,4600
GET,ptiff-lossy-round1,50,0,860.0,912.6502099799912,172.4168880000434,3352.0789639999293,2837210.42,0.02362337222267814,0.0,880,970,1000,1100,1300,1400,3400,3400,3400,3400,3400
,Aggregated,849,0,1900.0,2492.4210860247317,158.04125300019223,16438.04130700005,2939469.2473498234,0.40112486034107486,0.0,1900,2700,3300,3600,4800,6200,8000,10000,16000,16000,16000
