id,width,height,area
gri_2008_r_3_4096_pm,3851,5300,20410300
gri_2008_r_3_4112_recto_pm,5200,2706,14071200
gri_2008_r_3_4119_pm,4245,5200,22074000
gri_2008_r_3_4131_pm,4096,5268,21577728
gri_2008_r_3_4159_recto_pm,4110,5300,21783000
gri_2008_r_3_4168_recto_pm,4063,5300,21533900
gri_2008_r_3_4219_recto_pm,3386,4700,15914200
gri_2008_r_3_4220_pm,3980,5300,21094000
gri_2008_r_3_4262_pm,1344,1956,2628864
gri_2008_r_3_4270_recto_pm,3313,5200,17227600
gri_2008_r_3_4287_recto_pm,5200,4127,21460400
gri_2008_r_3_4288_pm,5200,4005,20826000
gri_2008_r_3_4297_pm,3436,4424,15200864
gri_2008_r_3_4314_recto_pm,5200,3838,19957600
gri_2008_r_3_4318_pm,4128,5200,21465600
gri_2008_r_3_4319_pm,3910,5200,20332000
gri_2008_r_3_4324_recto_pm,5200,3578,18605600
gri_2008_r_3_4335_pm,4548,5200,23649600
gri_2008_r_3_4338_recto_pm,4243,5200,22063600
gri_2008_r_3_4353_pm,5200,3385,17602000
gri_2008_r_3_4354_pm,5200,3267,16988400
gri_2008_r_3_4411_pm,5200,3553,18475600
gri_2008_r_3_4462_recto_pm,5016,6278,31490448
gri_2008_r_3_4475_pm,4002,3988,15959976
gri_2008_r_3_4520_pm,5894,4908,28927752
gri_2008_r_3_4523_pm,5300,4071,21576300
gri_2008_r_3_4542_recto_pm,4233,5300,22434900
gri_2008_r_3_4558_pm,7343,1630,11969090
gri_2008_r_3_4560_pm,2782,6940,19307080
gri_2008_r_3_4568_pm,6954,2858,19874532
gri_2008_r_3_4573_recto_pm,4714,3774,17790636
gri_2008_r_3_4599_pm,4600,4577,21054200
gri_2008_r_3_4600_pm,4600,4577,21054200
gri_2008_r_3_4601_pm,4600,4577,21054200
gri_2008_r_3_4602_pm,4600,4577,21054200
gri_2008_r_3_4608_pm,4600,4600,21160000
gri_2008_r_3_4617_recto_pm,3866,5500,21263000
gri_2008_r_3_4647_recto_pm,5300,4378,23203400
gri_2008_r_3_4654_pm,3764,4878,18360792
gri_2008_r_3_4659_pm,3637,5300,19276100
gri_2008_r_3_4660_pm,5300,4275,22657500
gri_2008_r_3_4662_pm,4024,5300,21327200
gri_2008_r_3_4692_pm,4224,5300,22387200
gri_2008_r_3_4707_pm,5040,6324,31872960
gri_2008_r_3_4754_pm,3904,5200,20300800
gri_2008_r_3_4757_pm,5160,6542,33756720
gri_2008_r_3_4775_pm,3200,2220,7104000
gri_2008_r_3_4776_pm,3200,2220,7104000
gri_2008_r_3_4843_pm,3417,5200,17768400
gri_2008_r_3_5051_pm,5500,1452,7986000
gri_2008_r_3_5054_pm,2520,3200,8064000
gri_2008_r_3_546_1fent_recto_pm,4242,5200,22058400
gri_2008_r_3_548_1rob_b_recto_pm,4008,4634,18573072
gri_2008_r_3_560_1abdf_recto_pm,5200,4260,22152000
gri_2008_r_3_581_10unkn_recto_pm,4136,5300,21920800
gri_2008_r_3_588_7bech_pm,4338,5200,22557600
gri_2008_r_3_636_21unkn_recto_pm,3937,5300,20866100
gri_2008_r_3_655_1adia_recto_pm,5200,4144,21548800
gri_2008_r_3_664_suez_pm,5300,4037,21396100
gri_2008_r_3_682_1mari_recto_pm,3712,5200,19302400
gri_2008_r_3_8_3grun_pm,5200,2706,14071200
gri_2008_r_3_9_1unkn_pm,5200,2706,14071200
gri_2010_m_64_01_pm,5617,3896,21883832
gri_2010_m_64_09_pm,5617,3896,21883832
