Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,"{derv_sz: ""rnd_region""}",1608,0,16,16.396706299128837,6.11847499999385,38.73362300001304,28533.187189054726,2.684045477607982,0.0,16,18,19,20,22,25,27,29,32,39,39
GET,"{derv_sz: ""tile""}",1608,0,9,8.952177521144284,4.226284000026226,45.41543899999567,13883.867537313432,2.684045477607982,0.0,9,9,10,11,12,14,15,17,24,45,45
GET,{derv_sz: 1024},804,0,110.0,130.34412961691473,45.52647100000229,382.85944500000824,222270.407960199,1.342022738803991,0.0,110,140,170,180,220,250,290,320,380,380,380
GET,{derv_sz: 128},4020,0,11,11.572953702985142,4.715290999996569,42.1064140000027,20958.830845771143,6.710113694019955,0.0,11,12,13,14,16,18,22,25,37,42,42
GET,{derv_sz: 4096},201,0,1300.0,2019.2004581044791,679.8260779999623,6715.742494000011,3252338.263681592,0.33550568470099773,0.0,1300,2400,2800,3200,4000,4600,5600,6000,6700,6700,6700
,Aggregated,8241,0,12,72.55675905351302,4.226284000026226,6715.742494000011,119510.55976216479,13.755733072740908,0.0,12,14,17,19,81,160,980,1700,4800,6700,6700
