Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,49,0,11,11.461101795918317,7.993497000001071,27.54380400000045,1232.938775510204,4.081986313845979,0.0,11,11,12,12,14,17,28,28,28,28,28
GET,htj2k-lossless-round1,49,0,10,10.684223489796173,7.9363680000001935,19.702646999999907,1198.938775510204,4.081986313845979,0.0,10,11,11,12,14,14,20,20,20,20,20
GET,htj2k-lossy-round1,49,0,10,10.645222918367462,7.171913999999724,20.704223000000077,1195.938775510204,4.081986313845979,0.0,10,11,12,12,13,18,21,21,21,21,21
GET,htj2k_bodelian_lossy,49,0,10,10.557133938775552,7.349675999999583,18.626495999999992,1229.938775510204,4.081986313845979,0.0,10,11,12,12,13,15,19,19,19,19,19
GET,htj2k_lossless,48,0,10,10.323337437499996,7.428722000000221,18.140314000000046,1215.8958333333333,3.998680470706265,0.0,10,11,11,12,13,15,18,18,18,18,18
GET,htj2k_lossless_plt,48,0,11,11.086798416666634,7.652331999999262,17.136393999999555,1219.8958333333333,3.998680470706265,0.0,11,11,12,13,16,17,17,17,17,17,17
GET,htj2k_lossy_3bpp_plt,48,0,10,11.381994395833374,8.012291000000005,22.359143999999276,1221.8958333333333,3.998680470706265,0.0,10,11,13,13,16,17,22,22,22,22,22
GET,htj2k_lossy_Qfactor_90_plt,48,0,10,10.681330916666695,6.900492999999841,16.876051999999753,1227.8958333333333,3.998680470706265,0.0,10,11,12,12,15,16,17,17,17,17,17
GET,j2k1_bodelian_lossy,48,0,10,10.758106312500127,7.403747999999766,16.577231000000303,1228.8958333333333,3.998680470706265,0.0,10,11,12,12,14,15,17,17,17,17,17
GET,j2k1_lossless_plt,48,0,10,11.727470916666713,6.873176999999231,23.55806699999974,1218.8958333333333,3.998680470706265,0.0,11,11,13,14,19,22,24,24,24,24,24
GET,j2k1_lossy_3bpp_plt,48,0,10,10.932063687500188,7.272380999999939,21.375015000000275,1220.8958333333333,3.998680470706265,0.0,10,11,12,12,14,19,21,21,21,21,21
GET,j2k_bodelian_lossless,48,0,10,10.532634770833189,7.515742999999908,16.77629399999958,1231.8958333333333,3.998680470706265,0.0,10,11,12,12,14,15,17,17,17,17,17
GET,jp2-lossless-round1,49,0,10,10.898336346938835,7.464555000000317,26.949336999999574,1190.938775510204,4.081986313845979,0.0,10,11,11,12,14,16,27,27,27,27,27
GET,jp2-lossy-round1,49,0,10,10.915693612244937,7.761841999999852,26.93188899999921,1187.938775510204,4.081986313845979,0.0,10,10,11,11,13,23,27,27,27,27,27
GET,ptiff-lossless-round1,49,0,44,47.71803371428574,25.062354000001008,96.24390799999993,1190.204081632653,4.081986313845979,0.0,44,51,57,63,77,82,96,96,96,96,96
GET,ptiff-lossy-round1,49,0,44,44.70022059183662,25.416365999999968,93.01628500000092,1187.204081632653,4.081986313845979,0.0,44,48,55,55,72,75,93,93,93,93,93
,Aggregated,776,0,11,15.3579352100516,6.873176999999231,96.24390799999993,1212.4020618556701,64.64533427641796,0.0,11,12,13,15,31,48,65,76,96,96,96
