Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,50,0,800.0,1040.0878388999986,193.28014999999255,6301.554208000027,384625.96,0.10934622411958426,0.0,820,940,1000,1100,1500,1800,6300,6300,6300,6300,6300
GET,htj2k-lossless-round1,50,0,170.0,208.46853513999937,41.18252699998948,1028.533278999987,433982.54,0.10934622411958426,0.0,200,260,270,300,360,370,1000,1000,1000,1000,1000
GET,htj2k-lossy-round1,50,0,190.0,210.32957108000122,62.76590200000953,755.877307999981,384234.78,0.10934622411958426,0.0,190,260,290,290,330,380,760,760,760,760,760
GET,htj2k_bodelian_lossy,50,0,1000.0,1314.4455098,528.5888549999953,8210.316116000002,434012.12,0.10934622411958426,0.0,1000,1100,1100,1300,2100,2400,8200,8200,8200,8200,8200
GET,htj2k_lossless,50,0,120.0,146.4587707600045,37.728083999979845,973.8546250000013,433982.54,0.10934622411958426,0.0,120,170,190,200,220,230,970,970,970,970,970
GET,htj2k_lossless_plt,50,0,170.0,206.98899623999765,53.53328500000032,1089.9962940000023,433982.54,0.10934622411958426,0.0,180,240,270,300,360,370,1100,1100,1100,1100,1100
GET,htj2k_lossy_3bpp_plt,50,0,190.0,213.34179201999837,68.89767899998844,936.9308830000023,384235.58,0.10934622411958426,0.0,190,260,290,300,330,350,940,940,940,940,940
GET,htj2k_lossy_Qfactor_90_plt,50,0,130.0,156.02462334000035,42.58611900002052,621.5795100000037,384210.78,0.10934622411958426,0.0,140,170,190,220,260,290,620,620,620,620,620
GET,j2k1_bodelian_lossy,49,0,1200.0,1426.297184755101,288.8954600000062,6226.871094999979,383377.55102040817,0.10715929963719258,0.0,1200,1400,1500,1600,2200,2500,6200,6200,6200,6200,6200
GET,j2k1_lossless_plt,49,0,510.0,567.4043358775497,99.71456800002443,3195.7412859999863,432550.0612244898,0.10715929963719258,0.0,510,740,770,820,930,1100,3200,3200,3200,3200,3200
GET,j2k1_lossy_3bpp_plt,49,0,510.0,557.721276530613,123.58467499998937,2252.849920000017,382981.36734693876,0.10715929963719258,0.0,510,710,750,790,890,950,2300,2300,2300,2300,2300
GET,j2k_bodelian_lossless,50,0,1400.0,1695.8080964399999,712.6225359999978,8303.717774999996,434012.12,0.10934622411958426,0.0,1400,1600,1700,1800,2700,4300,8300,8300,8300,8300,8300
GET,jp2-lossless-round1,50,0,520.0,566.3726636999999,100.81835900001579,3416.989797000042,433982.54,0.10934622411958426,0.0,530,730,760,800,930,1100,3400,3400,3400,3400,3400
GET,jp2-lossy-round1,50,0,500.0,556.0181642200009,119.08645399999784,2264.440079000053,384236.38,0.10934622411958426,0.0,510,720,770,820,890,960,2300,2300,2300,2300,2300
GET,ptiff-lossless-round1,50,0,170.0,188.35276511999828,63.77016999999796,979.9780569999825,380731.56,0.10934622411958426,0.0,170,210,240,260,290,310,980,980,980,980,980
GET,ptiff-lossy-round1,50,0,130.0,139.40639518000248,59.03787500000135,728.2733010000015,382867.38,0.10934622411958426,0.0,140,150,160,180,210,220,730,730,730,730,730
,Aggregated,797,0,280.0,573.5569675759087,37.728083999979845,8303.717774999996,405522.43538268504,1.7429788124661731,0.0,280,630,800,900,1200,1600,2400,4800,8300,8300,8300
