Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,50,0,73,80.34701195999912,19.1112579999988,237.88602399999093,22898.5,0.5175094413950945,0.0,74,91,100,110,120,210,240,240,240,240,240
GET,htj2k-lossless-round1,50,0,67,67.3194581599995,32.268907000000624,95.10222299999782,23020.48,0.5175094413950945,0.0,68,73,76,78,86,88,95,95,95,95,95
GET,htj2k-lossy-round1,50,0,66,65.13885294000019,41.04542900000041,90.16857099999953,22823.62,0.5175094413950945,0.0,67,73,77,81,84,87,90,90,90,90,90
GET,htj2k_bodelian_lossy,50,0,100.0,108.27332390000011,22.79480600000028,364.8782519999969,23020.48,0.5175094413950945,0.0,100,110,130,130,150,230,360,360,360,360,360
GET,htj2k_lossless,50,0,560.0,782.5007080400002,224.21675600000057,4451.8875889999945,23020.48,0.5175094413950945,0.0,560,690,720,780,1200,1800,4500,4500,4500,4500,4500
GET,htj2k_lossless_plt,49,0,76,73.10708653061282,30.200427000000474,134.20935999999983,23056.408163265307,0.5071592525671925,0.0,76,79,80,85,93,98,130,130,130,130,130
GET,htj2k_lossy_3bpp_plt,49,0,58,58.660632979592044,34.38366500000001,100.18981900000057,22866.04081632653,0.5071592525671925,0.0,58,64,66,69,76,78,100,100,100,100,100
GET,htj2k_lossy_Qfactor_90_plt,49,0,46,48.65389536734738,25.98013899999785,90.25844500000346,22519.73469387755,0.5071592525671925,0.0,46,53,58,62,68,72,90,90,90,90,90
GET,j2k1_bodelian_lossy,49,0,76,82.13003785714322,16.851247999994712,267.1884500000061,22947.48979591837,0.5071592525671925,0.0,76,87,98,110,150,220,270,270,270,270,270
GET,j2k1_lossless_plt,49,0,90,90.2012090816328,35.3799420000005,137.90198099999884,23056.408163265307,0.5071592525671925,0.0,90,100,100,110,120,120,140,140,140,140,140
GET,j2k1_lossy_3bpp_plt,49,0,79,77.12940610204046,37.9137010000008,113.68932299999557,22900.061224489797,0.5071592525671925,0.0,79,83,85,89,94,100,110,110,110,110,110
GET,j2k_bodelian_lossless,49,0,110.0,119.90018775510154,22.75048399999946,361.5190350000006,23056.408163265307,0.5071592525671925,0.0,110,120,150,150,170,240,360,360,360,360,360
GET,jp2-lossless-round1,50,0,86,86.61288837999982,42.29922100000039,138.20341400000302,23020.48,0.5175094413950945,0.0,88,98,100,100,110,120,140,140,140,140,140
GET,jp2-lossy-round1,50,0,75,76.11360757999995,44.113725999999076,113.69374500000617,22860.34,0.5175094413950945,0.0,76,85,88,94,100,110,110,110,110,110,110
GET,ptiff-lossless-round1,50,0,62,64.14830576000004,45.98793400001,98.16098599999634,23012.48,0.5175094413950945,0.0,62,70,72,76,84,85,98,98,98,98,98
GET,ptiff-lossy-round1,50,0,57,60.388275719999626,40.46905100000231,90.53696099999797,22968.4,0.5175094413950945,0.0,58,66,68,69,77,86,91,91,91,91,91
,Aggregated,793,0,73,121.6664085119797,16.851247999994712,4451.8875889999945,22940.71626733922,8.207699740526198,0.0,73,85,95,100,140,440,690,970,4500,4500,4500
