Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,50,0,2300.0,2425.5750229799955,479.1482990000304,9225.205782999865,2843093.9,0.027462573131830127,0.0,2300,2500,2700,3000,3300,3800,9200,9200,9200,9200,9200
GET,htj2k-lossless-round1,50,0,1300.0,1416.300318260006,228.19946800018442,5147.70512400014,3088741.14,0.027462573131830127,0.0,1300,1500,1700,1800,2000,2200,5100,5100,5100,5100,5100
GET,htj2k-lossy-round1,50,0,1100.0,1077.4610433199996,291.21232900001814,2082.001859000002,2841653.5,0.027462573131830127,0.0,1100,1200,1300,1300,1500,1600,2100,2100,2100,2100,2100
GET,htj2k_bodelian_lossy,50,0,3700.0,3994.215381999988,1363.6309669999919,11318.389562999982,3088498.2,0.027462573131830127,0.0,3800,4400,4600,5100,5400,7900,11000,11000,11000,11000,11000
GET,htj2k_lossless,50,0,940.0,955.9118050400062,144.45796399991195,3334.5377430000553,3088741.14,0.027462573131830127,0.0,980,1100,1200,1200,1300,1400,3300,3300,3300,3300,3300
GET,htj2k_lossless_plt,50,0,1300.0,1447.9683370400044,222.67979399998694,5275.3504299998895,3088741.14,0.027462573131830127,0.0,1400,1700,1800,1900,2100,2300,5300,5300,5300,5300,5300
GET,htj2k_lossy_3bpp_plt,50,0,1100.0,1090.8225919199972,333.6510770000132,2023.3659809998699,2841705.34,0.027462573131830127,0.0,1100,1200,1300,1400,1600,1600,2000,2000,2000,2000,2000
GET,htj2k_lossy_Qfactor_90_plt,50,0,790.0,799.5929925199919,226.56473500001084,1676.8274599999131,2829066.62,0.027462573131830127,0.0,810,950,960,1000,1200,1400,1700,1700,1700,1700,1700
GET,j2k1_bodelian_lossy,50,0,3600.0,3857.751524140003,842.1234779999622,10705.449948000023,2844134.5,0.027462573131830127,0.0,3600,4400,4500,4600,5000,5700,11000,11000,11000,11000,11000
GET,j2k1_lossless_plt,50,0,3200.0,3421.474380860007,473.1880790000105,12610.980390000122,3088741.14,0.027462573131830127,0.0,3300,3800,4200,4300,4700,5400,13000,13000,13000,13000,13000
GET,j2k1_lossy_3bpp_plt,49,0,2300.0,2385.0487795306112,620.8632380000836,4374.532342000066,2821994.93877551,0.026913321669193527,0.0,2300,2700,2900,3000,3100,3200,4400,4400,4400,4400,4400
GET,j2k_bodelian_lossless,50,0,5700.0,5884.671101000002,2334.343066000002,14419.937172000118,3088498.2,0.027462573131830127,0.0,5700,6400,7000,7300,8300,9700,14000,14000,14000,14000,14000
GET,jp2-lossless-round1,50,0,3000.0,3422.3567385400056,480.2640620000602,13216.807059000075,3088741.14,0.027462573131830127,0.0,3200,3900,4200,4300,4600,5500,13000,13000,13000,13000,13000
GET,jp2-lossy-round1,50,0,2300.0,2346.423973340022,658.6258570000609,4617.331616000001,2842951.4,0.027462573131830127,0.0,2300,2700,2800,3000,3100,3200,4600,4600,4600,4600,4600
GET,ptiff-lossless-round1,50,0,1000.0,1105.573367100016,221.15903400003845,4474.362792000193,2817583.34,0.027462573131830127,0.0,1100,1200,1300,1400,1500,1800,4500,4500,4500,4500,4500
GET,ptiff-lossy-round1,50,0,730.0,818.9439311000096,147.3981100000401,2821.689663000143,2837210.42,0.027462573131830127,0.0,740,900,940,1000,1200,1400,2800,2800,2800,2800,2800
,Aggregated,799,0,1700.0,2277.9968906821045,144.45796399991195,14419.937172000118,2946411.524405507,0.43885191864664547,0.0,1700,2500,3000,3400,4600,5500,7500,9200,14000,14000,14000
