Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,41,0,3600.0,4701.7293799999625,1040.3689419999864,33839.082191999296,24017093.536585364,0.0031282378678055634,0.0,3600,4500,4800,5300,6200,7800,34000,34000,34000,34000,34000
GET,htj2k-lossless-round1,41,0,4800.0,7874.850540829289,2040.7528250000269,115432.68487500063,24546014.268292684,0.0031282378678055634,0.0,4800,5900,6000,6500,9000,9500,115000,115000,115000,115000,115000
GET,htj2k-lossy-round1,42,1,2400.0,7645.626714785726,1009.840155999882,120010.1010010003,23591867.07142857,0.0032045363523861867,7.629848458062349e-05,2400,2800,2900,3300,3900,5200,120000,120000,120000,120000,120000
GET,htj2k_bodelian_lossy,41,0,8500.0,10719.711372292668,4010.46198500012,94256.14173899975,24546014.268292684,0.0031282378678055634,0.0,8500,9800,11000,12000,12000,15000,94000,94000,94000,94000,94000
GET,htj2k_lossless,41,0,3100.0,4204.514283926837,1587.2187439999834,36701.8886220003,24546014.268292684,0.0031282378678055634,0.0,3100,3900,4100,4600,5300,5500,37000,37000,37000,37000,37000
GET,htj2k_lossless_plt,41,0,4900.0,6248.938922170687,1978.3693749998292,45873.128807000285,24546014.268292684,0.0031282378678055634,0.0,4900,5900,6300,6700,8900,9400,46000,46000,46000,46000,46000
GET,htj2k_lossy_3bpp_plt,41,0,2300.0,2964.511390219532,995.9683479999057,21813.776326999687,24056477.975609757,0.0031282378678055634,0.0,2300,2900,2900,3300,4100,4300,22000,22000,22000,22000,22000
GET,htj2k_lossy_Qfactor_90_plt,41,0,1800.0,2596.7024073902567,793.9314669999931,30335.781842999495,23388966.926829267,0.0031282378678055634,0.0,1800,2100,2500,2700,3000,3200,30000,30000,30000,30000,30000
GET,j2k1_bodelian_lossy,41,1,6700.0,9457.148519390294,1705.3921550000268,120004.82535600077,19661634.463414636,0.0031282378678055634,7.629848458062349e-05,6700,7300,8200,8500,9600,13000,120000,120000,120000,120000,120000
GET,j2k1_lossless_plt,41,1,12000.0,14440.159088512193,4975.879785000188,63846.737548999954,20037080.0,0.0031282378678055634,7.629848458062349e-05,12000,15000,17000,18000,20000,24000,64000,64000,64000,64000,64000
GET,j2k1_lossy_3bpp_plt,41,1,5200.0,8030.111383609715,1599.837860999969,120004.2215809999,19680283.707317073,0.0031282378678055634,7.629848458062349e-05,5200,5900,6200,6400,7100,9400,120000,120000,120000,120000,120000
GET,j2k_bodelian_lossless,41,1,15000.0,18625.264685414637,6564.556554999854,120006.13195500046,20037080.0,0.0031282378678055634,7.629848458062349e-05,15000,18000,20000,20000,26000,28000,120000,120000,120000,120000,120000
GET,jp2-lossless-round1,42,2,13000.0,18405.4680168333,4996.813169999996,120012.9084150003,19560010.85714286,0.0032045363523861867,0.00015259696916124698,13000,16000,17000,18000,22000,32000,120000,120000,120000,120000,120000
GET,jp2-lossy-round1,42,0,4900.0,6813.787991309536,1617.4641810000594,41388.94280099976,27992777.476190478,0.0032045363523861867,0.0,4900,5500,6400,6500,9300,11000,41000,41000,41000,41000,41000
GET,ptiff-lossless-round1,42,0,3900.0,5877.818179023827,1501.829933999943,47052.975088000036,28436775.023809522,0.0032045363523861867,0.0,4200,4800,5200,5800,7100,9100,47000,47000,47000,47000,47000
GET,ptiff-lossy-round1,42,0,2800.0,6947.720234476184,900.3113549999853,103436.09126000047,28608922.92857143,0.0032045363523861867,0.0,2800,3300,3800,4200,4700,30000,103000,103000,103000,103000,103000
,Aggregated,661,7,4800.0,8477.166427615723,793.9314669999931,120012.9084150003,23593894.798789714,0.050433298307792127,0.0005340893920643644,4800,6400,8600,9900,16000,21000,46000,115000,120000,120000,120000
