Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,2146,278,15,51.09928979030833,3.2654430000320644,7850.685029000005,13056.695246971109,1.4752807497938172,0.19111279051383093,15,19,23,27,47,87,780,970,2600,7900,7900
GET,htj2k-lossless-round1,2146,278,12,21.286315770737243,3.2620969999470617,561.2621850000323,13056.64072693383,1.4752807497938172,0.19111279051383093,12,16,19,22,38,72,120,150,450,560,560
GET,htj2k-lossy-round1,2146,278,13,17.438013913794894,3.1933049999679497,319.6360019999247,12282.65796831314,1.4752807497938172,0.19111279051383093,13,15,17,19,27,47,85,110,270,320,320
GET,htj2k_bodelian_lossy,2146,278,14,40.68676501118278,3.2457949999979974,6440.825174999986,12279.055452003728,1.4752807497938172,0.19111279051383093,14,17,19,22,32,58,560,780,1700,6400,6400
GET,htj2k_lossless,2145,278,24,69.09895727226014,3.2707249999930355,2797.33844999987,13048.41491841492,1.474593293712832,0.19111279051383093,24,59,100,130,190,210,230,280,1800,2800,2800
GET,htj2k_lossless_plt,2145,278,13,21.768180949650425,3.193621999912466,504.7576360000221,13048.45407925408,1.474593293712832,0.19111279051383093,13,16,19,23,40,74,120,160,400,500,500
GET,htj2k_lossy_3bpp_plt,2145,278,13,17.137340225638958,3.0647940000108065,355.7170340000084,12274.892307692307,1.474593293712832,0.19111279051383093,13,15,17,19,27,46,77,110,240,360,360
GET,htj2k_lossy_Qfactor_90_plt,2145,278,12,14.741709522143346,3.2003479999502815,316.3247649999903,12235.311888111888,1.474593293712832,0.19111279051383093,12,14,15,17,22,35,64,87,160,320,320
GET,j2k1_bodelian_lossy,2145,278,21,48.887898750581975,3.2314830000359507,6289.535012000016,12282.02564102564,1.474593293712832,0.19111279051383093,21,25,29,33,54,92,580,780,1800,6300,6300
GET,j2k1_lossless_plt,2145,278,53,63.77365135617967,3.127273000018249,836.643540999944,13048.44428904429,1.474593293712832,0.19111279051383093,53,66,76,87,120,170,280,350,640,840,840
GET,j2k1_lossy_3bpp_plt,2145,278,49,55.80670920792471,3.301019999980781,418.70345000006637,12286.968298368298,1.474593293712832,0.19111279051383093,49,61,70,77,100,130,180,230,370,420,420
GET,j2k1_lossy_Qfactor_90_plt,2145,278,37,40.72538046433578,3.3093380000082107,309.61545199988905,12235.302097902098,1.474593293712832,0.19111279051383093,37,45,50,55,72,93,130,150,270,310,310
GET,j2k_bodelian_lossless,2145,278,28,66.09902706480361,3.0785860000150933,7929.461183000001,13048.283449883449,1.474593293712832,0.19111279051383093,28,37,43,49,76,170,770,930,2500,7900,7900
GET,jp2-lossless-round1,2146,278,54,63.44233909972139,3.2981780000227445,928.8601629999675,13056.562441752098,1.4752807497938172,0.19111279051383093,54,65,74,85,120,160,280,330,720,930,930
GET,jp2-lossy-round1,2146,278,49,55.323887470177695,3.179124999974192,420.3356220000387,12293.394221808016,1.4752807497938172,0.19111279051383093,49,60,70,76,99,130,180,240,370,420,420
GET,ptiff-lossless-round1,2146,278,10,14.731724481826218,3.028223999990587,244.0800470000113,23190.520503261883,1.4752807497938172,0.19111279051383093,10,13,15,17,28,40,63,78,170,240,240
GET,ptiff-lossy-round1,2146,278,10,13.512781526094754,3.0425799999420633,218.66599000009046,23222.437092264678,1.4752807497938172,0.19111279051383093,10,12,14,16,25,35,53,63,140,220,220
,Aggregated,36473,4726,17,39.73771449549051,3.028223999990587,7929.461183000001,13879.492720642667,25.073585641766027,3.2489174387351256,17,29,42,51,76,120,200,280,1300,6300,7900
