Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,htj2k-bodelian-lossless,2026,234,14,72.65163109230274,3.3023129999492085,11717.83223099999,11838.1456071076,1.299168222872609,0.1500520059981197,14,20,24,27,49,94,1200,1300,4200,12000,12000
GET,htj2k-lossless-round1,2026,234,13,23.416868118459316,3.4381509999548143,553.9718960000073,11838.653010858836,1.299168222872609,0.1500520059981197,13,17,21,24,46,83,140,170,380,550,550
GET,htj2k-lossy-round1,2026,234,13,18.837955458045002,3.3291760000793147,280.17735200000084,11040.406219151037,1.299168222872609,0.1500520059981197,13,16,19,21,31,52,88,130,190,280,280
GET,htj2k_bodelian_lossy,2026,234,13,57.721076197930024,3.484509000145408,10682.90547700002,11041.988153998025,1.299168222872609,0.1500520059981197,13,17,19,21,30,63,960,1200,2800,11000,11000
GET,htj2k_lossless,2026,234,24,60.71041307847843,3.5093069998310966,2607.148531000007,11838.750740375124,1.299168222872609,0.1500520059981197,24,50,73,100,140,180,230,290,2200,2600,2600
GET,htj2k_lossless_plt,2026,234,14,23.955725317373,3.2879919999686535,687.7729880000061,11838.77245804541,1.299168222872609,0.1500520059981197,14,17,21,25,45,85,150,180,370,690,690
GET,htj2k_lossy_3bpp_plt,2026,234,13,18.77272869052508,3.3530099999552476,252.27677199995924,11040.402764067127,1.299168222872609,0.1500520059981197,13,16,18,21,30,51,97,130,210,250,250
GET,htj2k_lossy_Qfactor_90_plt,2026,234,12,15.804358924482457,3.2577179999861983,169.13495900000086,10995.071076011845,1.299168222872609,0.1500520059981197,12,14,16,18,25,37,68,91,150,170,170
GET,j2k1_bodelian_lossy,2026,234,20,65.22054814560592,3.308904999812512,8955.196661000002,11046.837117472853,1.299168222872609,0.1500520059981197,20,25,29,32,55,110,940,1200,2600,9000,9000
GET,j2k1_lossless_plt,2025,234,51,66.01835562765875,3.3724789998359483,1216.1404400000038,11837.667160493827,1.298526974983728,0.1500520059981197,51,66,75,84,130,180,310,370,700,1200,1200
GET,j2k1_lossy_3bpp_plt,2025,234,51,59.633121205431905,3.382218999831821,508.76000799996746,11045.662222222221,1.298526974983728,0.1500520059981197,51,65,74,80,110,150,200,250,400,510,510
GET,j2k1_lossy_Qfactor_90_plt,2025,234,38,43.23684384444305,3.4120729999358446,296.827033999989,10993.903703703703,1.298526974983728,0.1500520059981197,38,48,54,58,75,97,140,170,270,300,300
GET,j2k_bodelian_lossless,2026,234,26,85.38234295804445,3.359437999961301,10241.348398000013,11838.14017769003,1.299168222872609,0.1500520059981197,26,32,40,48,81,190,1200,1400,3800,10000,10000
GET,jp2-lossless-round1,2026,234,50,65.37292460365082,3.1243429998539796,1087.857227000086,11838.609575518263,1.299168222872609,0.1500520059981197,50,65,75,84,130,180,300,360,730,1100,1100
GET,jp2-lossy-round1,2026,234,50,59.18168163178825,3.1227240001499013,457.2236950000388,11045.582428430405,1.299168222872609,0.1500520059981197,50,65,74,80,110,150,200,270,400,460,460
GET,ptiff-lossless-round1,2026,234,11,16.550487802567673,3.264239000145608,274.81675700005326,21970.692497532084,1.299168222872609,0.1500520059981197,11,13,16,18,32,53,77,86,220,270,270
GET,ptiff-lossy-round1,2026,234,10,14.750218560709417,3.1680910001341545,207.75498200000087,22002.290227048372,1.299168222872609,0.1500520059981197,10,12,14,16,28,43,66,75,170,210,210
,Aggregated,34439,3978,18,45.129455660937296,3.1227240001499013,11717.83223099999,12652.564069804583,22.083936045167707,2.5508841019680344,18,30,43,51,78,120,200,350,1800,9100,12000
